"","county","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"155","Howard","Brandy",31322,2852,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396
"156","Howard","Rum",137195,9755,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396
"157","Howard","Vodka",141754,15683,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396
"158","Howard","Tequila",27531,1780,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396
"159","Howard","Gin",11934,965,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396
"160","Howard","Distilled Spirits",1727,81,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396
"161","Howard","Amaretto",2637,303,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396
"162","Howard","Schnapps",76859,6029,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396
"163","Dubuque","Misc",693468,41572,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465
"164","Dubuque","Whisky",2665411,169078,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465
"165","Dubuque","Rum",1244959,86793,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465
"166","Dubuque","Brandy",405281,19509,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465
"167","Dubuque","Tequila",396923,22515,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465
"168","Dubuque","Gin",213859,16388,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465
"169","Dubuque","Vodka",1976563,169825,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465
"170","Dubuque","Amaretto",38446,3771,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465
"171","Dubuque","Schnapps",404441,28591,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465
"172","Dubuque","Distilled Spirits",56589,6568,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465
"173","Pottawattamie","Misc",1008737,57186,90,20.7,4.9,31657,93198,87907,1352,304,636,5,1240,1754,0.339674671130282,94.322839545913,1.45067490718685
"174","Pottawattamie","Whisky",3366132,191260,90,20.7,4.9,31657,93198,87907,1352,304,636,5,1240,1754,0.339674671130282,94.322839545913,1.45067490718685
"175","Pottawattamie","Gin",209504,15392,90,20.7,4.9,31657,93198,87907,1352,304,636,5,1240,1754,0.339674671130282,94.322839545913,1.45067490718685
