"","zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"131","50211",95.9,36,5,42163,12282,11976,12,53,64,0,105,72,3.43290994951962,97.5085490962384,0.0977039570102589,453957,35432,12.8120625423346
"132","52742",94.6,25.6,3.4,35787,7778,7496,1,15,100,0,20,146,4.6010542555927,96.3743893031628,0.0128567755206994,271795,23049,11.7920517159096
"133","50250",93.2,15.1,2.5,31412,2349,2342,2,0,0,0,0,5,13.3724989357173,99.7020008514261,0.0851426138782461,171325,13498,12.6926211290562
"134","50216",95.1,33.8,1.7,36886,2548,2525,0,18,5,0,0,0,14.4764521193093,99.0973312401884,0,172305,13134,13.1190041114664
"135","51035",91.3,24.4,2.1,33421,1381,1335,0,5,0,0,0,41,24.2005792903693,96.6690803765387,0,34453,2699,12.7650981845128
"136","52031",89.3,20.6,2.1,34806,5368,5297,20,0,3,0,16,32,6.48397913561848,98.677347242921,0.3725782414307,275575,19089,14.4363245848394
"137","50579",92.7,17.5,1.6,21272,2779,2598,103,19,9,0,7,43,7.65455199712127,93.4868657790572,3.70636919755308,78560,7157,10.9766662009222
"138","52310",92.8,18.8,2.4,34498,6609,6583,23,0,0,0,0,3,5.21985171735512,99.6065970646089,0.348010288999849,464581,39517,11.7564845509528
"139","51245",88.7,18.4,1.8,31528,1239,1124,10,0,7,0,93,5,25.4463276836158,90.7183212267958,0.807102502017756,91431,6747,13.5513561582926
"140","50461",93.6,17.1,3.8,30769,5684,5583,9,26,0,0,6,60,5.41326530612245,98.2230823363828,0.158339197748065,243742,20276,12.0212073387256
"141","50603",87.7,7.3,3.2,31452,662,621,0,14,7,0,8,12,47.5105740181269,93.8066465256798,0,5695,454,12.5440528634361
"142","50533",88.1,16.4,9,27930,3885,3767,11,24,0,0,36,47,7.18918918918919,96.962676962677,0.283140283140283,249204,20171,12.3545684398394
"143","50472",92.7,16.5,2.1,30779,2216,2180,0,0,36,0,0,0,13.889440433213,98.3754512635379,0,164320,13028,12.6128338962235
"144","51028",96.1,20.8,3.3,36639,2069,2033,9,0,11,0,0,16,17.708554857419,98.2600289995167,0.434992750120831,65155,5249,12.4128405410554
"145","50676",90.6,14.1,2.5,31353,2182,2114,14,0,0,39,0,15,14.3689275893676,96.8835930339138,0.641613198900092,186465,15512,12.020693656524
"146","52655",91.4,14.9,6.4,25079,4606,4232,135,0,50,0,0,189,5.4448545375597,91.8801563178463,2.93095961788971,743008,51444,14.4430448643185
"147","52246",97.9,70.2,2.7,23594,22392,16145,1588,54,3729,0,210,666,1.05367988567345,72.1016434440872,7.0918185066095,990190,71051,13.9363274267779
"148","50044",89.9,8.1,5.3,25139,1088,1087,0,1,0,0,0,0,23.1056985294118,99.9080882352941,0,14756,1542,9.56939040207523
"149","51346",89.9,13.5,1.8,31224,2352,2237,12,13,21,0,24,45,13.2755102040816,95.1105442176871,0.510204081632653,142642,12054,11.8335822133732
"150","50662",86.7,15.6,4,25085,6911,6646,19,76,21,0,33,116,3.62972073506005,96.1655332079294,0.274924034148459,673146,55680,12.0895474137931
"151","50601",89,18.7,4.3,28750,2375,2352,0,0,0,0,15,8,12.1052631578947,99.0315789473684,0,58058,5057,11.4807197943445
"152","52134",91.1,9.3,8.4,25625,368,348,10,0,10,0,0,0,69.633152173913,94.5652173913043,2.71739130434783,2996,232,12.9137931034483
"153","50638",95.1,25.9,4.6,33462,3236,3203,33,0,0,0,0,0,10.340543881335,98.9802224969098,1.01977750309023,192323,16040,11.9902119700748
"154","51546",92.7,23.1,1.3,37434,2774,2693,7,7,0,7,0,60,13.4945926459986,97.0800288392213,0.252343186733958,66729,5717,11.6720307853769
"155","52060",92.4,16,7.1,27868,8459,7982,37,7,59,120,25,229,3.29447925286677,94.3610355834023,0.437403948457264,829789,65832,12.6046451573703
"156","51445",91.2,19.2,3.5,29904,2786,2770,1,7,0,0,1,7,10.7336683417085,99.4256999282125,0.0358937544867193,235474,18642,12.6313700246755
