"","city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"143","Iowa City","Misc",819553,48671,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054
"144","Iowa City","Brandy",365994,15473,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054
"145","Iowa City","Tequila",665159,38294,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054
"146","Iowa City","Distilled Spirits",35563,2825,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054
"147","Iowa City","Gin",423733,29846,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054
"148","Iowa City","Vodka",2730885,221374,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054
"149","Iowa City","Rum",1077310,80972,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054
"150","Iowa City","Amaretto",26802,2263,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054
"151","Iowa City","Schnapps",327220,23897,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054
"152","Storm Lake","Whisky",598877,41254,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364
"153","Storm Lake","Misc",124911,7655,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364
"154","Storm Lake","Vodka",289423,27167,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364
"155","Storm Lake","Rum",232999,17301,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364
"156","Storm Lake","Brandy",121982,5467,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364
"157","Storm Lake","Tequila",119398,6301,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364
"158","Storm Lake","Gin",43111,3747,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364
"159","Storm Lake","Distilled Spirits",4745,220,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364
"160","Storm Lake","Amaretto",5600,649,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364
"161","Storm Lake","Schnapps",54168,4102,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364
"162","Corning","Misc",13064,780,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365
"163","Corning","Whisky",103643,7006,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365
"164","Corning","Vodka",25321,2686,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365
"165","Corning","Schnapps",7172,518,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365
"166","Corning","Tequila",9413,712,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365
"167","Corning","Distilled Spirits",1044,68,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365
"168","Corning","Gin",2333,212,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365
"169","Corning","Rum",14309,985,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365
"170","Corning","Brandy",2900,249,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365
"171","Corning","Amaretto",450,60,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365
"172","Cresco","Misc",59437,3500,90.7,15.1,4.3,30165,3839,3730,18,0,0,0,2,89,7.85751497785882,97.1607189372232,0.468872102109924
"173","Cresco","Whisky",215383,15916,90.7,15.1,4.3,30165,3839,3730,18,0,0,0,2,89,7.85751497785882,97.1607189372232,0.468872102109924
"174","Cresco","Brandy",26187,2376,90.7,15.1,4.3,30165,3839,3730,18,0,0,0,2,89,7.85751497785882,97.1607189372232,0.468872102109924
"175","Cresco","Rum",113311,8130,90.7,15.1,4.3,30165,3839,3730,18,0,0,0,2,89,7.85751497785882,97.1607189372232,0.468872102109924
"176","Cresco","Vodka",121868,13531,90.7,15.1,4.3,30165,3839,3730,18,0,0,0,2,89,7.85751497785882,97.1607189372232,0.468872102109924
