"","zipcode","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"124","51360","Rum",370199,26078,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97,4.03007428708363,97.6755331895519,0.311526479750779
"125","51360","Tequila",113339,8131,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97,4.03007428708363,97.6755331895519,0.311526479750779
"126","51360","Distilled Spirits",19731,2211,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97,4.03007428708363,97.6755331895519,0.311526479750779
"127","51360","Amaretto",6929,743,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97,4.03007428708363,97.6755331895519,0.311526479750779
"128","51360","Schnapps",94133,6423,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97,4.03007428708363,97.6755331895519,0.311526479750779
"129","50009","Misc",214560,12823,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,2.16956989247312,95.0752688172043,0.655913978494624
"130","50009","Whisky",738673,43028,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,2.16956989247312,95.0752688172043,0.655913978494624
"131","50009","Tequila",145529,10411,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,2.16956989247312,95.0752688172043,0.655913978494624
"132","50009","Gin",49068,3513,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,2.16956989247312,95.0752688172043,0.655913978494624
"133","50009","Vodka",599751,50122,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,2.16956989247312,95.0752688172043,0.655913978494624
"134","50009","Rum",341864,24537,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,2.16956989247312,95.0752688172043,0.655913978494624
"135","50009","Brandy",36787,2086,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,2.16956989247312,95.0752688172043,0.655913978494624
