,city,category,sale.dollars,sale.volume,high.school,bachelor,unemployment,income,Average Income,population,Sale Per Person,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi,income_per_capita,prop_white,prop_black
3221,Hudson,Misc,909,37,98.3,34.5,4.7,41672,17.26263463,2414,0.376553438,2392,0,0,11,0,11,0,17.26263463,99.08864954,0
3222,Hudson,Tequila,519,25,98.3,34.5,4.7,41672,17.26263463,2414,0.214995857,2392,0,0,11,0,11,0,17.26263463,99.08864954,0
3223,Hudson,Schnapps,708,56,98.3,34.5,4.7,41672,17.26263463,2414,0.293289147,2392,0,0,11,0,11,0,17.26263463,99.08864954,0
3224,Hudson,Distilled Spirits,572,25,98.3,34.5,4.7,41672,17.26263463,2414,0.236951118,2392,0,0,11,0,11,0,17.26263463,99.08864954,0
3225,Hudson,Amaretto,58,8,98.3,34.5,4.7,41672,17.26263463,2414,0.024026512,2392,0,0,11,0,11,0,17.26263463,99.08864954,0
3226,Dakota City,Whisky,4073,273,90.6,9.2,2.8,31250,43.82889201,713,5.712482468,711,0,0,0,0,0,2,43.82889201,99.71949509,0
3227,Dakota City,Gin,54,3,90.6,9.2,2.8,31250,43.82889201,713,0.075736325,711,0,0,0,0,0,2,43.82889201,99.71949509,0
3228,Dakota City,Vodka,5695,708,90.6,9.2,2.8,31250,43.82889201,713,7.987377279,711,0,0,0,0,0,2,43.82889201,99.71949509,0
3229,Dakota City,Rum,1807,146,90.6,9.2,2.8,31250,43.82889201,713,2.534361851,711,0,0,0,0,0,2,43.82889201,99.71949509,0
3230,Dakota City,Brandy,161,15,90.6,9.2,2.8,31250,43.82889201,713,0.225806452,711,0,0,0,0,0,2,43.82889201,99.71949509,0
3231,Dakota City,Misc,393,16,90.6,9.2,2.8,31250,43.82889201,713,0.551192146,711,0,0,0,0,0,2,43.82889201,99.71949509,0
3232,Dakota City,Schnapps,156,15,90.6,9.2,2.8,31250,43.82889201,713,0.218793829,711,0,0,0,0,0,2,43.82889201,99.71949509,0
3233,Dakota City,Amaretto,25,4,90.6,9.2,2.8,31250,43.82889201,713,0.035063114,711,0,0,0,0,0,2,43.82889201,99.71949509,0
3234,Dakota City,Distilled Spirits,38,1,90.6,9.2,2.8,31250,43.82889201,713,0.053295933,711,0,0,0,0,0,2,43.82889201,99.71949509,0
3235,Dakota City,Tequila,358,14,90.6,9.2,2.8,31250,43.82889201,713,0.502103787,711,0,0,0,0,0,2,43.82889201,99.71949509,0
